
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
30552947      0x1D23373       Qualcomm device tree container, version: 1280890120, DTB entries: 778576260
42236952      0x2847C18       LANCOM OEM file
73588231      0x462DE07       LANCOM WWAN firmware
314167403     0x12B9D06B      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
331550213     0x13C30E05      QNX IFS
331550932     0x13C310D4      QNX IFS
331555330     0x13C32202      QNX IFS
341985045     0x14624715      LANCOM OEM file
357645902     0x15513E4E      HTML document header
357646481     0x15514091      HTML document footer
357649851     0x15514DBB      Executable script, shebang: "/usr/bin/perl -w"
357649853     0x15514DBD      Unix path: /usr/bin/perl -w
357656735     0x1551689F      HTML document header
357657325     0x15516AED      HTML document footer
365708482     0x15CC44C2      eCos RTOS string reference: "ecostals"
365862464     0x15CE9E40      eCos RTOS string reference: "ecoshale"
369083312     0x15FFC3B0      End of Zip archive, footer length: -27724
380175913     0x16A90629      Linux EXT filesystem, rev 0.0, ext2 filesystem data, UUID=1a2263ce-3809-0100-0000-010000000000
392303935     0x1762153F      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
415694425     0x18C6FE59      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
417027570     0x18DB55F2      LANCOM OEM file
418532650     0x18F24D2A      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
422113285     0x1928F005      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
422115184     0x1928F770      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
444791748     0x1A82FBC4      StuffIt Deluxe Segment (data): f8AlZ+s/Yfaf5hL28PicdV53xz9oVtH7PrfneTyjj4z3b/PGU9ZEuu9i/oZvNdtPlQ9MK/OeYxWzkWFU+0bAWLrR2vgxg9F3E2F4td6fTnJ|brbwwfyazqrrciwngnjc
444869666     0x1A842C22      StuffIt Deluxe Segment (data): ftzDgacukhrPO0x+5TPwkccA6SHMz2S0smObglrFiXGgVHa03T5jkhszFET1O0Z5Acg3Cme9KM/AzFzUyIO8IRxblxEYyoYFLwqPmbXnw5/P38IoNxAjhlImkTuH3I47
445604716     0x1A8F636C      StuffIt Deluxe Segment (data): fTMW8/nYR+byLSeeXqPziJq/+0ajRL5JqNHq81pxvwvmnF8fr8v5dxW1tyeXQqT5brMreWQJSeW6+Efl+qrN5roNS+Xadz5ejmTymFlHksGUXkitQ51aTl4ARzKlxysc
447395947     0x1AAAB86B      StuffIt Deluxe Segment (data): fTMW8/nYR+byLSeeXqPziJq/+0ajRL5JqNHq81pxvwvmnF8fr8v5dxW1tyeXQqT5brMreWQJSeW6+Efl+qrN5roNS+Xadz5ejmTymFlHksGUXkitQ51aTl4ARzKlxysc
448075220     0x1AB515D4      lrzip compressed data
448399546     0x1ABA08BA      VMware4 disk image
448584528     0x1ABCDB50      StuffIt Deluxe Segment (data): fr8oZtbpz4+skz76fjxyG3STTjjPI2uBOcvn4DR8cFauPMm7TLj8iESiCbSlSFQT4Xr9I9SLWTT36c+KkNEMhIrUpqiVrgoPDGZOWEFeQ1dmUcPTjQz+|fokataoaxas
448806123     0x1AC03CEB      eCos RTOS string reference: "ecosCMgIdlV4eAI4b6DFcqsbiV5QCLiqlX4TEjWUqWbJQg/XXgvpEmYjhoYpuyNVltM4zMWMxptsPTQHUiRVS0rVYJG0cJroY16bMAeq2Nb|zqvndircztsqwaieeril"
449753804     0x1ACEB2CC      Qualcomm device tree container, version: 877945446, DTB entries: 1815554895
451593814     0x1AEAC656      IMG0 (VxWorks) header, size: 1297302571
451703400     0x1AEC7268      Qualcomm device tree container, version: 1632921683, DTB entries: 1734822490
453211818     0x1B0376AA      StuffIt Deluxe Segment (data): ftnGjCTT8lIo9K52Aw0A+JspKfq3RAT9n0esrykHm8UqpI0diaYYHcmEFLJqtVAblMwhEnE8yH1qO3Om59YTDrZhnlZQQMq0nOmDspLswMxSFeym2FCTOjgqc47vmCsC
463849907     0x1BA5C9B3      Copyright string: "Copyright (c) 2010 Satoshi Nakamoto"
464227764     0x1BAB8DB4      JPEG image data, JFIF standard 1.02
464683727     0x1BB282CF      PGP armored data, public key block
464843411     0x1BB4F293      PGP armored data, public key block
465375896     0x1BBD1298      PGP armored data, public key block
466495945     0x1BCE29C9      Zip archive data, at least v2.0 to extract, compressed size: 788, uncompressed size: 1024, name: LIFE.COM
466496771     0x1BCE2D03      Zip archive data, at least v2.0 to extract, compressed size: 186, uncompressed size: 376, name: FILE_ID.ASC
466497490     0x1BCE2FD2      Zip archive data, at least v2.0 to extract, compressed size: 219, uncompressed size: 462, name: FILE_ID.DIZ
466497750     0x1BCE30D6      Zip archive data, at least v2.0 to extract, compressed size: 2289, uncompressed size: 7811, name: LIFE.NFO
466500357     0x1BCE3B05      End of Zip archive, footer length: 22
466952963     0x1BD52303      Zip archive data, at least v1.0 to extract, compressed size: 4096, uncompressed size: 4096, name: GIANTSHW.COM
466957101     0x1BD5332D      Zip archive data, at least v2.0 to extract, compressed size: 107, uncompressed size: 154, name: FILE_ID.DIZ
467411314     0x1BDC2172      Zip archive data, at least v2.0 to extract, compressed size: 56579, uncompressed size: 57450, name: BIRDCAGE.EXE
467467935     0x1BDCFE9F      Zip archive data, at least v2.0 to extract, compressed size: 426, uncompressed size: 980, name: BIRDCAGE.TXT
467468403     0x1BDD0073      Zip archive data, at least v2.0 to extract, compressed size: 45, uncompressed size: 64, name: FILE_ID.DIZ
467847167     0x1BE2C7FF      Zip archive data, at least v2.0 to extract, compressed size: 134, uncompressed size: 209, name: FILE_ID.DIZ
467847342     0x1BE2C8AE      Zip archive data, at least v2.0 to extract, compressed size: 234, uncompressed size: 752, name: XMESS.DOC
467847615     0x1BE2C9BF      Zip archive data, at least v2.0 to extract, compressed size: 64051, uncompressed size: 65112, name: XMESS.EXE
467911705     0x1BE3C419      Zip archive data, at least v1.0 to extract, compressed size: 3221, uncompressed size: 3221, name: MVYTZFNH.COM
